year,month,vote_average,comedy
1941,2,6.3909090909090915,0.6363636363636364
1941,3,5.176923076923076,0.46153846153846156
1941,4,5.592307692307693,0.38461538461538464
1941,5,6.05,0.5
1941,6,5.511111111111111,0.5555555555555556
1941,7,6.225,0.25
1941,8,6.43,0.6
1941,9,6.323076923076924,0.5384615384615384
1941,10,5.885714285714284,0.5
1941,11,6.523529411764706,0.35294117647058826
1941,12,5.7125,0.5
1942,1,5.762499999999999,0.375
1942,2,6.07,0.3
1942,3,5.3307692307692305,0.38461538461538464
1942,4,5.086666666666668,0.4666666666666667
1942,5,5.12,0.06666666666666667
1942,6,5.08,0.6
1942,7,5.4799999999999995,0.2
1942,8,5.1499999999999995,0.4375
1942,9,5.127272727272727,0.2727272727272727
1942,10,5.875,0.25
1942,11,5.791666666666667,0.6666666666666666
1942,12,5.688888888888888,0.16666666666666666
1943,1,6.364285714285714,0.14285714285714285
1943,2,5.04,0.2
1943,3,5.709999999999999,0.4
1943,4,6.3,0.08333333333333333
1943,5,5.208333333333333,0.16666666666666666
1943,6,5.271428571428571,0.42857142857142855
1943,7,5.7555555555555555,0.2222222222222222
1943,8,5.714285714285715,0.35714285714285715
1943,9,6.8,0.14285714285714285
1943,10,5.072727272727272,0.18181818181818182
1943,11,5.185714285714285,0.5
1943,12,4.709999999999999,0.2
1944,1,5.65625,0.1875
1944,2,5.811111111111111,0.2222222222222222
1944,3,4.2299999999999995,0.4
1944,4,6.0,0.0
1944,5,6.199999999999999,0.45454545454545453
1944,6,5.59,0.2
1944,7,5.072727272727272,0.18181818181818182
1944,8,6.828571428571428,0.7142857142857143
1944,9,4.3,0.45454545454545453
1944,10,5.593333333333334,0.06666666666666667
1944,11,5.9399999999999995,0.3
1944,12,5.817391304347825,0.2608695652173913
1945,1,4.733333333333334,0.5333333333333333
1945,2,4.533333333333333,0.0
1945,3,5.371428571428572,0.14285714285714285
1945,4,4.207692307692308,0.23076923076923078
1945,5,5.033333333333333,0.25
1945,6,5.366666666666666,0.1111111111111111
1945,7,5.5307692307692315,0.5384615384615384
1945,8,3.7428571428571424,0.14285714285714285
1945,9,5.869999999999999,0.1
1945,10,5.133333333333332,0.16666666666666666
1945,11,4.531818181818181,0.3181818181818182
1945,12,5.976470588235294,0.23529411764705882
1946,1,5.825,0.16666666666666666
1946,2,5.261538461538461,0.23076923076923078
1946,3,5.616666666666666,0.16666666666666666
1946,4,6.124999999999999,0.0
1946,5,6.02,0.2
1946,6,5.220000000000001,0.4
1946,7,6.21111111111111,0.2222222222222222
1946,8,6.639999999999999,0.2
1946,9,5.75,0.25
1946,10,5.5687500000000005,0.125
1946,11,5.881818181818181,0.09090909090909091
1946,12,6.036842105263157,0.0
1947,1,5.55,0.16666666666666666
1947,2,4.47,0.1
1947,3,4.628571428571428,0.14285714285714285
1947,4,6.6000000000000005,0.6666666666666666
1947,5,5.9799999999999995,0.2
1947,6,5.116666666666666,0.25
1947,7,6.409999999999999,0.3
1947,8,4.681818181818182,0.2727272727272727
1947,9,4.961538461538462,0.15384615384615385
1947,10,6.574999999999999,0.375
1947,11,5.921052631578948,0.15789473684210525
1947,12,6.28125,0.3125
1948,1,5.199999999999999,0.07692307692307693
1948,2,6.114285714285715,0.14285714285714285
1948,3,6.1000000000000005,0.3
1948,4,5.789999999999999,0.2
1948,5,5.111111111111111,0.2222222222222222
1948,6,6.380000000000001,0.5
1948,7,5.463636363636363,0.18181818181818182
1948,8,6.128571428571428,0.35714285714285715
1948,9,6.049999999999998,0.13636363636363635
1948,10,5.614285714285714,0.2857142857142857
1948,11,5.333333333333333,0.08333333333333333
1948,12,6.072727272727272,0.3181818181818182
1949,1,6.10625,0.1875
1949,2,6.199999999999999,0.0
1949,3,5.366666666666666,0.16666666666666666
1949,4,5.9642857142857135,0.2857142857142857
1949,5,5.949999999999999,0.375
1949,6,5.663636363636364,0.36363636363636365
1949,7,5.918181818181818,0.18181818181818182
1949,8,6.640000000000001,0.2
1949,9,6.75,0.2
1949,10,6.11,0.15
1949,11,4.8388888888888895,0.3333333333333333
1949,12,5.872222222222222,0.2222222222222222
1950,1,4.964705882352941,0.23529411764705882
1950,2,5.325,0.125
1950,3,5.8999999999999995,0.21428571428571427
1950,4,5.15,0.2
1950,5,5.516666666666666,0.4166666666666667
1950,6,6.0,0.3333333333333333
1950,7,5.874999999999999,0.125
1950,8,5.478571428571429,0.21428571428571427
1950,9,5.653333333333333,0.3333333333333333
1950,10,5.29375,0.25
1950,11,5.622222222222222,0.16666666666666666
1950,12,6.173333333333334,0.2
1951,1,5.52,0.5333333333333333
1951,2,6.6000000000000005,0.14285714285714285
1951,3,4.364285714285715,0.35714285714285715
1951,4,6.137037037037037,0.2222222222222222
1951,5,5.2,0.25
1951,6,6.027777777777776,0.16666666666666666
1951,7,6.04,0.3
1951,8,5.635294117647059,0.29411764705882354
1951,9,4.866666666666666,0.26666666666666666
1951,10,6.066666666666666,0.3333333333333333
1951,11,6.493333333333331,0.26666666666666666
1951,12,5.371428571428572,0.14285714285714285
1952,1,6.2565217391304335,0.30434782608695654
1952,2,5.611764705882353,0.35294117647058826
1952,3,5.166666666666666,0.25
1952,4,5.6,0.15384615384615385
1952,5,5.707142857142857,0.14285714285714285
1952,6,5.7272727272727275,0.36363636363636365
1952,7,4.2384615384615385,0.46153846153846156
1952,8,6.371428571428572,0.21428571428571427
1952,9,5.406666666666666,0.6
1952,10,5.5,0.15384615384615385
1952,11,5.957142857142857,0.21428571428571427
1952,12,5.451612903225806,0.22580645161290322
1953,1,4.7176470588235295,0.11764705882352941
1953,2,6.314285714285714,0.14285714285714285
